經度,緯度,期間平均室外溫度(°),相對溼度(%),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²),能見度(km),總雲量(0~10),太陽高度角(°),天氣現象,海拔(m),設備容量(kW),故障率(%),遮蔽率(%),擺放角度(°),面板溫度(°)
120.2048°E,22.9932°N,25.8,66,0.0,10.0,6.844,10.8,4.2,82,多雲,40.8,8734.420598515371,0.03357187340762648,1.1398804277429897,22.715075273169965,43.84702720074729
120.2048°E,22.9932°N,26.6,69,0.0,11.4,7.028,12.4,3.8,82,晴天,40.8,5227.224038854343,0.00588679047742786,54.338601754254036,24.036782302411716,50.847491481641825
120.2048°E,22.9932°N,26.9,73,0.0,9.5,6.819,10.4,6.2,83,多雲,40.8,6197.2012789382925,0.006275893382675439,98.28705465534338,21.50462285170013,43.342615864083584
120.2048°E,22.9932°N,28.1,68,0.0,12.1,7.561,14.4,1.2,83,晴天,40.8,710.3575046572372,0.0027532399430576886,89.61450048806353,22.37504644799147,57.794988745705425
120.2048°E,22.9932°N,28.7,74,0.0,11.4,7.547,30.0,2.2,83,晴天,40.8,288.29175758399066,0.003832070552922265,31.968979646702767,22.723103731161665,44.10291483182931
120.2048°E,22.9932°N,29.0,73,0.0,11.8,7.597,48.0,5.4,83,多雲,40.8,8010.7578073776185,0.010842495385821193,60.36444763691112,24.175498233715906,39.64016312851594
120.2048°E,22.9932°N,27.7,77,14.5,0.6,2.156,39.0,9.8,84,陰有雨,40.8,4555.022773237224,0.015530982915995277,44.642290751790256,21.74589006117326,50.24111293710497
120.2048°E,22.9932°N,25.1,79,1.5,4.0,5.261,10.8,8.2,84,多雲有雨,40.8,2153.9626769279894,0.0016260636693682443,10.038679422454933,23.917833727922652,53.8930207888235
120.2048°E,22.9932°N,23.1,69,0.0,0.7,3.119,14.4,9.8,84,陰天,40.8,9433.238526447554,0.004012633327445426,47.08925816438495,21.028689142340603,34.457928071307386
120.2048°E,22.9932°N,24.7,67,0.0,11.5,7.6,12.6,2.6,85,晴天,40.8,4348.727467607504,0.005154349469401994,52.970531670190454,23.38954501176056,49.11848933375167
120.2048°E,22.9932°N,25.8,69,0.0,3.9,5.006,12.4,9.2,85,陰天,40.8,3064.652170535696,0.005055107904381185,51.058224668218244,24.313446643972473,50.21356022959644
120.2048°E,22.9932°N,25.9,74,0.0,3.5,4.742,9.2,9.0,85,陰天,40.8,8662.750567133593,0.002038338792944782,47.58040220637739,22.967617991685874,48.05352261435575
120.2048°E,22.9932°N,24.9,84,5.0,0.1,2.347,7.0,10.0,86,陰有雨,40.8,8189.53683474883,0.0074638865377105994,61.972541659590895,23.242333535846534,50.16809229274293
120.2048°E,22.9932°N,26.0,78,1.0,0.5,3.989,6.8,9.4,86,陰有雨,40.8,8066.656705797045,0.0035058553133902855,63.53979141788637,21.026433497730284,51.77166528995779
120.2048°E,22.9932°N,27.7,74,0.0,11.8,7.669,18.6,1.8,86,晴天,40.8,5021.271848962249,0.05422151162827112,65.68532942055742,24.90188400619304,52.33137029604819
120.2048°E,22.9932°N,28.7,81,0.0,4.3,5.539,23.0,8.2,86,多雲有靄,40.8,957.1879846475639,0.0067327992603364445,0.07438894434061982,24.94895576184169,56.2523988235019
120.2048°E,22.9932°N,28.3,82,1.5,4.4,5.483,9.2,8.0,87,多雲有雨,40.8,2172.8943180092265,0.011710996739622705,56.48231106837381,24.327396004996764,39.55626644969978
120.2048°E,22.9932°N,28.9,76,0.0,9.8,7.164,15.0,4.4,87,多雲有靄,40.8,6064.059864951058,0.007364976631858831,14.544547855627277,23.54456344808632,56.55812280722597
120.2048°E,22.9932°N,29.3,77,0.0,9.4,6.764,55.0,6.0,87,多雲有靄,40.8,329.6252426948633,0.005667205077648641,24.06502518590784,21.18612710865452,42.803335584183
120.2048°E,22.9932°N,27.4,80,4.0,1.2,3.669,18.0,9.8,88,陰有雨,40.8,5568.197551230828,0.006849849499937093,29.90527486167165,24.45489612485785,54.33893087093206
120.2048°E,22.9932°N,27.4,74,0.0,3.7,5.228,9.8,8.8,88,多雲,40.8,4657.5379659384735,0.014738403043508631,25.28705036510319,21.941564238184206,45.23791123699108
120.2048°E,22.9932°N,28.8,71,0.0,9.3,6.811,15.2,4.4,88,多雲,40.8,73.05688871188919,0.002947901614386327,42.30593036779792,23.1205052981895,53.60154719527824
120.2048°E,22.9932°N,28.6,73,0.0,3.8,5.039,17.6,8.0,88,多雲,40.8,9312.22317881012,0.004055898481462132,18.725043421724962,21.10518146195825,42.67987100016623
120.2048°E,22.9932°N,28.4,75,0.0,8.4,6.703,10.2,4.4,88,多雲有靄,40.8,2451.8005058825484,0.006918788854617729,30.142361648631187,24.895226852982944,55.822966827341965
120.2048°E,22.9932°N,29.0,73,0.0,11.3,7.669,14.2,2.2,89,晴天,40.8,6207.699581922132,0.003965731713848806,6.610071679227247,24.09366484144041,56.772576222308174
120.2048°E,22.9932°N,29.7,72,0.5,5.0,5.569,11.2,7.8,89,多雲,40.8,6322.605505255707,0.013463248595855766,94.87239098864617,22.400705687611598,40.88403609607929
120.2048°E,22.9932°N,29.2,75,0.5,3.1,3.172,8.4,6.6,89,多雲有靄,40.8,3110.239959179174,0.0018812518300442746,95.2481900103118,22.15248333639976,58.240281888152765
120.2048°E,22.9932°N,28.6,75,0.0,7.0,6.039,26.4,5.2,89,多雲有靄,40.8,1841.2586060244687,0.00746143964181156,26.06509673451801,21.062027591158422,43.52559232976442
