經度,緯度,期間平均室外溫度(°),相對溼度(%),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²),能見度(km),總雲量(0~10),太陽高度角(°),天氣現象,海拔(m),設備容量(kW),故障率(%),遮蔽率(%),擺放角度(°),面板溫度(°)
120.8132°E,23.5082°N,12.2,90,0.0,7.3,6.606,18.6,6.2,81,多雲有靄,2413.4,8488.328154988518,0.0020252663647511667,53.00002248954253,22.73187566294366,28.289487183082862
120.8132°E,23.5082°N,13.2,82,0.0,4.8,4.633,12.6,5.5,82,多雲有靄,2413.4,1118.3010204797715,0.0030572803353604476,26.414685325337363,24.37929474989422,40.514300683803086
120.8132°E,23.5082°N,14.8,74,0.0,8.3,7.161,18.6,4.2,82,多雲,2413.4,8070.987742971512,0.0024299632063961686,94.50384171904427,21.94598659336732,34.10186321529672
120.8132°E,23.5082°N,15.8,68,0.0,10.2,7.75,21.6,3.6,82,晴天,2413.4,1416.4110437481133,0.006651651423190629,53.7745219418836,24.170710151299417,33.08657601136292
120.8132°E,23.5082°N,15.0,62,0.0,9.2,7.586,19.6,3.6,83,晴天,2413.4,6230.56317472627,0.01243480785763552,40.618952247249155,21.82686442155959,26.136624028241677
120.8132°E,23.5082°N,14.2,74,0.0,8.3,7.558,25.0,3.0,83,晴天,2413.4,784.2307554222558,0.013880278743743757,49.949241972908396,22.038737270977844,24.815112670915703
120.8132°E,23.5082°N,11.9,100,78.0,0.0,1.069,3.9,9.6,83,陰有雨,2413.4,6395.254793710478,0.005604844319811585,77.10361133392682,24.6753980054779,30.777491782508584
120.8132°E,23.5082°N,11.9,100,26.0,0.2,1.292,2.5,10.0,84,陰有雨,2413.4,2689.014184281145,0.0002715339246511163,9.773087965586324,24.41829019431165,31.088888506714312
120.8132°E,23.5082°N,11.6,91,0.5,0.3,2.308,9.2,8.0,84,多雲有靄,2413.4,5205.444251622601,0.009626031711547314,45.187126344277296,25.05998080413322,26.007990733472777
120.8132°E,23.5082°N,11.0,96,21.5,0.0,2.017,8.3,10.0,85,陰有雨,2413.4,1069.1196945535191,0.00014098389406561306,63.656621422787374,22.387248149348537,31.95104867291945
120.8132°E,23.5082°N,10.9,94,2.5,0.1,3.286,12.2,10.0,85,陰有雨,2413.4,9208.075903801653,0.02150175132197086,56.910503764257555,24.481878517863993,27.500303705406687
120.8132°E,23.5082°N,12.9,96,5.5,0.2,2.819,3.2,9.0,86,陰有雨,2413.4,6078.915221417911,0.00785636079020592,20.136661118531173,21.51477903104028,24.334663934695342
120.8132°E,23.5082°N,14.0,94,0.0,6.1,5.492,18.6,4.8,86,多雲有靄,2413.4,4205.524470662704,0.006308195692087278,42.11780592700119,25.237309374163637,31.265815960610162
120.8132°E,23.5082°N,12.8,99,17.5,0.0,1.011,12.1,9.0,86,陰有雨,2413.4,151.02655934265277,0.022352975786683573,97.09420683125343,23.99468133631354,41.525249125324805
120.8132°E,23.5082°N,13.1,94,117.5,4.6,3.903,18.0,4.3,86,多雲有雨,2413.4,5990.797674300789,0.0014436642476620145,77.47702399200641,21.993898019507157,33.447882851456974
120.8132°E,23.5082°N,12.9,98,9.0,1.2,3.661,6.5,8.0,86,多雲有雨,2413.4,6657.8576860720295,0.01193581267486337,12.398756441911152,22.348182952169818,30.20735404143271
120.8132°E,23.5082°N,13.1,94,1.0,2.5,4.203,19.8,9.0,87,陰有雨,2413.4,4013.4837088597155,0.009544656443857472,12.915869529940904,22.36981347638527,40.101318930792075
120.8132°E,23.5082°N,13.0,97,5.0,0.8,2.75,11.5,9.2,87,陰有雨,2413.4,3700.522474414346,0.0025447150146761842,46.575077893392304,24.220667884344802,30.55751954156712
120.8132°E,23.5082°N,13.3,100,35.0,0.0,1.339,1.3,10.0,87,陰有雨,2413.4,7164.619119311436,0.0037122390915904735,15.953575050217628,24.48995291049005,32.74683388255178
120.8132°E,23.5082°N,12.9,100,12.0,0.4,2.442,10.7,8.8,87,多雲有雨,2413.4,6302.3990790429,0.014685496037644732,29.991891969923234,24.002528214473617,32.763750744847215
120.8132°E,23.5082°N,12.9,98,7.0,3.6,4.161,13.1,8.0,87,多雲有雨,2413.4,7892.408070043652,0.0190423801713484,86.38092279224774,21.905362229569743,29.75310005466512
120.8132°E,23.5082°N,13.7,97,0.0,4.0,4.189,14.6,5.0,88,多雲有靄,2413.4,362.23439681749625,0.008594410395605524,96.91310570839595,25.382221002871226,25.280590101842073
120.8132°E,23.5082°N,13.6,97,0.5,2.0,4.044,0.9,8.0,88,多雲,2413.4,1848.2450373218808,0.022877816500340573,51.26574298015115,22.37772662806905,25.63286864103167
120.8132°E,23.5082°N,14.5,67,0.0,10.7,7.778,18.4,2.2,88,晴天,2413.4,2490.4002464295036,0.031684876078622824,43.511613072352006,24.819449344385763,25.45073979384584
120.8132°E,23.5082°N,16.9,72,0.0,9.3,7.342,12.2,1.3,88,晴天,2413.4,7698.762585049689,0.032765917639018656,19.843054054272514,23.317264087386746,31.955380541963397
120.8132°E,23.5082°N,15.0,93,35.0,3.3,2.944,12.1,4.0,88,多雲有雨,2413.4,8172.747352342711,0.030876253133503666,13.324374974499854,22.179688539362395,33.20797361341537
120.8132°E,23.5082°N,14.5,99,47.0,1.7,1.906,11.5,7.0,89,多雲有雨,2413.4,4842.637021526048,0.0017420946016010685,60.30481766016064,22.75676614722514,42.9435751712102
120.8132°E,23.5082°N,14.9,99,1.5,2.1,3.306,7.4,6.3,89,多雲有雨,2413.4,7692.210679511358,0.006817064831878359,73.3030721334873,21.53752603419442,42.82181089497019
120.8132°E,23.5082°N,14.6,98,60.5,2.7,3.481,12.0,7.8,89,多雲有雨,2413.4,2092.862070487924,0.016581274381193105,49.451055174762836,22.345880607177595,29.843762721627172
120.8132°E,23.5082°N,13.9,96,2.0,4.1,4.122,18.4,5.0,89,多雲有雨,2413.4,6234.889188682273,0.006137190232323093,55.49923459071615,24.320595504386382,28.003899089825964
120.8132°E,23.5082°N,14.6,97,15.0,3.6,3.425,20.8,6.8,89,多雲有雨,2413.4,2645.4985660688853,0.005619229076194831,36.49387592755408,22.40959815780546,34.7800200554354
120.8132°E,23.5082°N,15.0,94,9.0,5.5,6.275,21.4,7.2,89,多雲有雨,2413.4,1445.1580096075295,0.028039287386737298,72.78934984274035,24.94234447834826,42.455304109839105
120.8132°E,23.5082°N,14.3,99,17.5,0.7,2.65,15.2,8.8,89,多雲有雨,2413.4,5284.537033886599,0.004894081453378347,26.418620539695514,22.499251040297732,41.50258633760954
120.8132°E,23.5082°N,14.2,95,0.5,1.0,3.639,10.2,8.7,89,多雲有靄,2413.4,9475.548859298418,0.0015880761198550292,50.33195838866129,22.797558369419757,39.39913739215278
120.8132°E,23.5082°N,14.6,95,27.0,2.3,2.994,8.2,8.0,90,多雲有雨,2413.4,9254.860882967992,0.0032426361086195085,17.14198223450768,24.708643519449893,32.6501668629072
120.8132°E,23.5082°N,14.8,98,20.0,1.4,3.039,4.2,9.0,90,陰有雨,2413.4,605.011274167466,0.008411238556146934,42.95640133701271,23.18205599800489,43.36525524654208
120.8132°E,23.5082°N,13.9,98,10.5,0.1,1.997,2.8,9.0,90,陰有雨,2413.4,9283.731558748597,0.003566435494693042,32.08976704445015,24.185811784848404,42.70011255235218
120.8132°E,23.5082°N,13.9,97,11.5,0.0,2.522,13.0,9.0,90,陰有雨,2413.4,8133.828090510416,0.00061966839967058,90.07191200468986,23.079097586648555,41.728670830094096
120.8132°E,23.5082°N,14.2,97,2.5,0.1,2.058,7.9,10.0,90,陰有雨,2413.4,4739.299603224935,0.014538915477390913,4.275684111415434,21.78599446847564,36.539796745466646
120.8132°E,23.5082°N,14.0,93,1.0,1.1,3.389,12.6,9.0,90,陰有雨,2413.4,5923.328698654684,0.03149412976521864,93.51028741172145,23.408841132413635,37.647049880662586
120.8132°E,23.5082°N,13.5,92,0.0,3.7,4.033,15.6,6.2,90,多雲有靄,2413.4,424.80114959589804,0.03434817650033403,87.40560234987377,25.47633247253255,37.666058843460306
120.8132°E,23.5082°N,14.2,92,0.5,4.7,4.497,18.4,5.4,90,多雲有靄,2413.4,4138.323565684457,1.5975373932677664e-05,85.96270273081488,21.79296117728289,28.940336509197028
120.8132°E,23.5082°N,14.4,86,0.0,5.8,5.722,22.8,6.0,90,多雲有靄,2413.4,7361.747937574752,0.0035844545154287834,6.117566507963823,23.382295089911707,24.8752087195542
120.8132°E,23.5082°N,14.2,75,0.0,5.8,5.506,22.0,6.8,90,多雲有靄,2413.4,7181.899774086337,0.005081069248897212,84.9972806451499,23.631070965743078,44.121334572406084
120.8132°E,23.5082°N,14.6,81,0.0,5.2,5.333,22.0,7.0,90,多雲有靄,2413.4,9219.996461166671,0.007255458187496429,43.810491758683966,25.04534550331927,25.597585090325392
120.8132°E,23.5082°N,14.9,85,3.5,6.0,6.086,24.0,6.2,90,多雲有雨,2413.4,5369.116604608613,0.00281881009786594,23.24035893464179,23.95737687975176,41.4884846021579
120.8132°E,23.5082°N,13.9,95,1.5,4.7,4.567,18.3,4.0,90,多雲有雨,2413.4,9246.98374565372,0.001613775176133057,78.04967809466923,22.598012665139795,30.254353227617585
120.8132°E,23.5082°N,13.5,92,9.0,4.4,3.689,13.1,4.5,90,多雲有雨,2413.4,4582.989051965233,0.0008634930701638206,64.89059942021947,22.158051571826856,24.653553843535356
120.8132°E,23.5082°N,14.6,96,3.0,4.2,4.05,14.1,6.7,90,多雲有雨,2413.4,8788.036147457336,0.006918463437570804,48.112623398235165,22.068509780925563,29.377006763347133
120.8132°E,23.5082°N,14.4,93,1.0,0.0,2.85,9.3,10.0,90,陰有雨,2413.4,3246.502850335507,0.012938862910908271,43.506233209579705,25.324898311581794,43.64970922058378
120.8132°E,23.5082°N,14.8,93,12.5,4.6,3.708,15.7,6.8,90,多雲有雨,2413.4,2748.6821125581714,0.014420182629754573,48.568849249538815,22.537329266912728,34.26579926580287
120.8132°E,23.5082°N,15.5,90,6.0,4.3,4.867,12.3,8.8,90,多雲有雨,2413.4,7729.0960436433015,0.01296485594521986,75.58340308597275,22.962738825902363,26.94959266053842
120.8132°E,23.5082°N,15.6,88,2.0,4.8,5.011,16.9,5.0,90,多雲有雨,2413.4,8080.395195237349,0.02514622363762631,76.89382819374912,22.184310515911044,39.149916442071635
120.8132°E,23.5082°N,15.4,87,0.0,5.4,5.233,20.4,6.2,90,多雲有靄,2413.4,4996.859507370898,0.004082292310677351,91.15296281895144,24.11665317270193,40.405149637218045
120.8132°E,23.5082°N,14.7,86,16.0,6.6,6.197,23.4,6.8,89,多雲有雨,2413.4,6769.241564665904,0.0022748787543847493,32.43273543749231,24.898899046318416,32.372679021497305
120.8132°E,23.5082°N,13.8,94,2.5,4.9,4.108,24.0,6.0,89,多雲有雨,2413.4,4846.535404072325,0.00027580119394575735,4.963998669215863,22.94543571934128,39.41392486898317
120.8132°E,23.5082°N,15.2,83,0.0,6.7,5.686,25.0,5.6,89,多雲有靄,2413.4,1092.430608907084,0.01832215986911615,1.605009084128528,21.52592600238103,42.545914397122004
120.8132°E,23.5082°N,15.9,65,0.0,8.1,7.292,25.0,4.8,89,多雲,2413.4,3423.3319247751087,0.017249099280762365,62.86087835235114,24.56683893995481,26.054329456414273
120.8132°E,23.5082°N,14.5,79,9.5,5.3,4.75,18.6,4.0,89,多雲有雨,2413.4,3856.4216628278177,0.0031634181496158335,0.38870686586055525,21.773714234491557,24.923639024043243
120.8132°E,23.5082°N,14.7,92,10.0,5.4,4.497,16.6,2.3,89,晴有雨,2413.4,8094.9740205537255,0.010037553925801058,66.21318071483644,23.569865741060113,31.000099635942256
120.8132°E,23.5082°N,14.4,93,14.0,5.3,4.403,17.1,2.3,89,晴有雨,2413.4,7178.382594040104,0.018696321340904244,55.636718028973675,25.205600210576478,28.979354862388938
120.8132°E,23.5082°N,13.6,96,24.0,3.2,2.531,10.7,6.5,89,多雲有雨,2413.4,4099.588386052232,0.006026773619026797,79.80337227620271,24.329877304455465,35.144609644722735
120.8132°E,23.5082°N,14.1,95,7.0,4.1,3.039,11.7,4.5,89,多雲有雨,2413.4,9873.599786464729,0.012058533797818268,29.10184977963275,22.742881395626018,41.44260065458356
120.8132°E,23.5082°N,15.0,94,0.0,5.3,4.647,15.4,3.5,88,晴有靄,2413.4,784.6289750314494,0.039566650009426226,22.98361116698331,22.998104671320135,26.003524944376963
120.8132°E,23.5082°N,15.9,88,0.0,6.7,5.267,18.6,5.0,88,多雲有靄,2413.4,3486.6286043845935,0.02196965910920352,59.36574250913008,23.916348620823776,39.31306991528629
120.8132°E,23.5082°N,15.7,95,0.5,3.6,2.994,12.7,3.0,88,晴有靄,2413.4,8481.775940340942,0.013951681815399299,18.42442842175519,21.850614700472043,43.75439967493671
120.8132°E,23.5082°N,15.0,97,10.0,1.8,2.486,13.1,6.3,88,多雲有雨,2413.4,5400.160046154586,0.023740768258141347,35.06882729018168,24.228490116126558,29.9124079198252
120.8132°E,23.5082°N,14.7,99,24.5,1.7,2.956,1.8,8.8,88,多雲有雨,2413.4,4641.449782242945,0.015321987342330111,79.92245236761097,24.747828436222953,32.48509329915959
120.8132°E,23.5082°N,14.4,99,13.5,1.3,2.667,1.0,9.0,88,陰有雨,2413.4,5525.655447240689,0.011722288373446054,10.308267343659061,24.884929838311873,41.44358952479352
120.8132°E,23.5082°N,14.6,97,71.0,3.8,3.469,12.9,6.8,87,多雲有雨,2413.4,1646.4733447786236,0.0006239755661721196,47.706016108674746,23.47378481836875,30.885540932872956
120.8132°E,23.5082°N,14.5,98,63.5,1.4,2.086,19.4,8.2,87,多雲有雨,2413.4,3575.539492823125,0.0017427262892035723,3.3853203566165613,22.592140701527768,34.68276382882458
120.8132°E,23.5082°N,15.0,98,2.0,3.8,3.192,21.3,7.0,87,多雲有雨,2413.4,5822.562353165276,0.0017226453211049073,21.14112993861156,25.314992700934027,28.471990677541847
120.8132°E,23.5082°N,15.3,98,4.5,3.3,3.489,20.8,6.6,87,多雲有雨,2413.4,2447.1239372047316,0.0045951276191373526,74.5028749574765,23.080504931800956,38.829886927895586
120.8132°E,23.5082°N,14.6,98,5.0,3.5,3.361,13.7,6.8,87,多雲有雨,2413.4,8788.4198718599,0.022931526008817756,87.56174915270664,22.44663212953407,40.84581819213091
120.8132°E,23.5082°N,14.4,92,0.0,6.1,4.522,20.1,6.8,86,多雲有靄,2413.4,6084.947295223683,0.008940581848183941,10.279655944524201,21.700370514676937,26.749090055144748
120.8132°E,23.5082°N,14.2,98,10.5,0.0,0.786,9.2,10.0,86,陰有雨,2413.4,4398.344052807674,0.010216524800770883,36.71604771806349,23.223840895637736,29.700271749480287
