經度,緯度,期間平均室外溫度(°),相對溼度(%),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²),能見度(km),總雲量(0~10),太陽高度角(°),天氣現象,海拔(m),設備容量(kW),故障率(%),遮蔽率(%),擺放角度(°),面板溫度(°)
120.4329°E,23.4959°N,28.7,82,0.0,8.3,6.561,20.0,3.6,81,晴有靄,26.9,764.0065854501978,0.012834636755852218,53.849587041043364,23.500381854639752,40.14102266719523
120.4329°E,23.4959°N,28.5,86,10.0,4.8,4.372,10.4,8.8,82,多雲有雨,26.9,2685.1213620386097,0.007308941427322297,80.37390361043755,23.019664532594152,39.818726938118104
120.4329°E,23.4959°N,29.2,84,49.5,0.0,2.256,28.0,10.0,82,陰有雨,26.9,2882.1678474806276,0.02435627652353444,2.4899227550348013,23.898095669856488,58.20259000827291
120.4329°E,23.4959°N,29.0,86,8.5,0.0,1.953,16.4,10.0,83,陰有雨,26.9,2303.7984873306273,0.009276312581575812,13.316944575925016,23.58955032269506,54.008197182040696
120.4329°E,23.4959°N,29.2,80,8.0,6.8,5.803,20.0,8.4,83,多雲有雨,26.9,6690.463395598254,0.006380023935927616,47.74011548515884,22.95946154312237,55.95835988618521
120.4329°E,23.4959°N,29.3,79,30.0,2.4,4.581,38.4,9.2,84,陰有雨,26.9,7686.706417688573,0.004416932721102785,27.60490483306951,23.3072717301856,46.3595673188879
120.4329°E,23.4959°N,28.7,81,30.0,2.1,3.361,30.0,8.6,84,多雲有雨,26.9,6574.337228334803,0.003929167772103494,90.64232691643387,22.217706476810726,53.52237745826528
120.4329°E,23.4959°N,30.2,71,0.0,7.7,5.981,50.0,6.6,85,多雲,26.9,4224.318062387761,0.005791609101859372,52.29062010283453,23.15544391375777,40.22853761125516
120.4329°E,23.4959°N,29.0,78,2.0,3.9,4.867,34.0,7.8,85,多雲有雨,26.9,923.531196121674,0.010286284658514323,68.29138543754175,21.70841476269183,45.177053697275944
120.4329°E,23.4959°N,29.2,80,2.5,3.7,4.631,30.0,8.4,85,多雲有雨,26.9,5926.354278546406,0.002645692249832844,94.50482237927939,24.889503523350754,48.64647992576805
