經度,緯度,期間平均室外溫度(°),相對溼度(%),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²),能見度(km),總雲量(0~10),太陽高度角(°),天氣現象,海拔(m),設備容量(kW),故障率(%),遮蔽率(%),擺放角度(°),面板溫度(°)
121.1546°E,22.7522°N,24.1,70,0.0,0.9,3.767,28.2,9.4,82,陰天,9,1803.5166190788152,0.00016794797045970375,48.54270981677824,20.803323258362433,43.84743214639744
121.1546°E,22.7522°N,25.8,72,0.0,7.7,7.05,34.0,6.0,83,多雲,9,9418.124716781318,0.019461311842151094,10.873607186897495,24.327816681140323,52.94308494145659
121.1546°E,22.7522°N,26.9,79,1.5,8.9,7.081,37.0,7.0,83,多雲有雨,9,1651.7010893346762,0.010980505856824101,81.82753578641436,22.13069796383687,43.275975937248674
121.1546°E,22.7522°N,27.3,77,0.0,10.4,7.667,30.4,2.6,83,晴有靄,9,1117.5006587146092,0.0009318187652953782,59.95433962576555,20.974894718340312,46.8959456331886
121.1546°E,22.7522°N,27.8,77,0.0,6.7,6.2,26.2,4.8,83,多雲有靄,9,4017.3631298258915,0.01745228665598036,94.91023977466375,24.69889332143387,44.561080992990554
121.1546°E,22.7522°N,28.6,78,0.0,9.2,6.547,29.0,6.6,84,多雲有靄,9,2399.5069158456813,0.013668071057137632,36.46156429960411,21.03229121049801,44.9873541410182
121.1546°E,22.7522°N,27.2,81,2.5,1.2,2.175,27.0,9.4,84,陰有雨,9,704.7555684744618,0.003432187059146783,56.18187101448784,23.216273540290604,44.429670844064034
121.1546°E,22.7522°N,22.9,84,10.5,0.1,2.85,22.2,10.0,84,陰有雨,9,1689.0041685559427,0.005738536290422163,6.2887623860700455,20.835131915524684,48.31096132830038
121.1546°E,22.7522°N,24.1,70,0.0,2.6,4.344,18.6,8.0,85,多雲,9,3000.220142296113,0.011836061450421917,35.84379283481562,23.97846716371088,49.38982193088943
121.1546°E,22.7522°N,24.0,85,1.0,0.2,2.342,13.4,9.8,86,陰有雨,9,6526.494784415924,0.01641092843856729,95.74440528259551,22.08769768580437,48.765052456973464
121.1546°E,22.7522°N,22.1,91,8.0,0.0,0.961,7.8,10.0,86,陰有雨,9,9498.383224066074,0.004832781004854142,7.500199310871569,20.82957344919297,47.292989351043474
121.1546°E,22.7522°N,21.9,90,18.5,0.0,1.708,11.8,10.0,86,陰有雨,9,4528.138885755484,0.008610288445307103,41.86634301818408,22.2226705002706,35.280576211815045
121.1546°E,22.7522°N,23.1,84,1.5,0.0,3.556,16.2,10.0,86,陰有雨,9,7938.930193941436,0.016811784444947898,69.60661747706573,21.524272321066388,48.45264469878616
121.1546°E,22.7522°N,27.2,81,0.0,8.3,5.967,33.0,5.4,87,多雲有靄,9,3341.4948601290885,0.005595668814529987,56.828966892726626,23.38696940573235,48.71117082110469
121.1546°E,22.7522°N,27.8,80,0.0,7.2,6.644,20.0,6.4,87,多雲有靄,9,3182.5537526764892,0.0026088632594822836,9.141458692565019,21.956116679363735,39.51389612026774
121.1546°E,22.7522°N,28.2,80,0.0,11.5,7.406,28.0,5.6,88,多雲有靄,9,3437.789356296083,0.011399227757225636,62.52248400713203,21.829414160714176,51.33417612377325
121.1546°E,22.7522°N,23.9,86,4.5,0.0,1.35,11.6,10.0,88,陰有雨,9,6270.351194093916,0.01597279500510113,28.60446694951897,22.828230966350635,52.3490047654174
121.1546°E,22.7522°N,26.5,82,1.0,7.9,6.611,22.0,5.0,88,多雲有雨,9,7239.3887149335205,0.006806304556026867,64.87221982847005,22.543284641462844,47.51278941904738
121.1546°E,22.7522°N,26.5,86,24.5,3.4,5.169,16.0,9.0,88,陰有雨,9,9711.780861106316,0.03270835972119842,31.367915310335437,24.475263689837075,41.26692202479943
121.1546°E,22.7522°N,25.4,82,16.5,0.1,3.242,22.0,10.0,88,陰有雨,9,4204.48735768167,0.029055864150815226,93.21486216692217,22.9076011675403,39.96073732388514
121.1546°E,22.7522°N,26.9,71,0.0,12.4,7.983,40.0,1.0,89,晴天,9,7129.916239410115,0.008320204249824725,92.96051143502446,24.576433056193146,56.21861793398633
121.1546°E,22.7522°N,28.4,75,0.0,7.1,5.967,24.4,6.4,89,多雲有靄,9,3578.5346237168787,0.0004748619784417736,73.63094717820712,23.344385892690386,39.45865698229474
121.1546°E,22.7522°N,29.5,70,3.5,4.7,5.328,37.0,9.4,89,陰有雨,9,2329.5954434602572,0.01257896948368625,91.550300409866,22.175520319450406,40.563596575579915
121.1546°E,22.7522°N,29.1,76,0.0,7.9,6.558,29.0,4.6,89,多雲有靄,9,6140.089321904414,0.0032540491837337576,94.79500297521538,22.194519513587046,44.039963054407515
121.1546°E,22.7522°N,28.5,80,0.5,5.5,4.664,25.0,8.0,89,多雲有靄,9,530.4657292163647,0.016865219075400412,19.0721612852886,21.45581392690383,57.72775543514148
121.1546°E,22.7522°N,28.3,82,6.5,6.0,6.244,30.0,7.4,90,多雲有雨,9,2911.0887200574803,0.015208029941442816,29.909023029198533,23.446160574880782,43.26839364486291
121.1546°E,22.7522°N,28.4,80,13.5,10.8,7.567,33.0,2.4,90,晴有雨,9,7518.919824459381,0.02359733752137164,42.265997464635085,21.01398633084078,49.89311887601219
