經度,緯度,期間平均室外溫度(°),相對溼度(%),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²),能見度(km),總雲量(0~10),太陽高度角(°),天氣現象,海拔(m),設備容量(kW),故障率(%),遮蔽率(%),擺放角度(°),面板溫度(°)
119.5631°E,23.5655°N,23.6,68,0.0,10.9,7.067,29.0,3.8,81,晴天,10.7,2947.35536186841,0.007151447162526452,57.5602893753034,21.721751664755466,40.75627208967098
119.5631°E,23.5655°N,23.7,82,0.0,7.8,6.411,14.8,6.8,82,多雲有靄,10.7,9456.886184997258,0.0005601455545609337,87.72905261480302,21.770274662481814,46.7483723093131
119.5631°E,23.5655°N,25.0,80,0.0,8.6,6.547,21.4,5.8,82,多雲有靄,10.7,5517.961934980118,0.011019336304767056,56.15089053263611,23.149689744188105,50.77401419357799
119.5631°E,23.5655°N,26.8,79,0.0,10.9,7.514,24.0,2.4,82,晴有靄,10.7,4185.425369073424,0.0015942669200977927,5.524135021582377,24.437648774814583,42.64634709008277
119.5631°E,23.5655°N,27.6,82,0.0,10.8,7.589,24.0,1.8,83,晴有靄,10.7,1988.53994813123,0.0192118477687791,15.895874456727544,24.27254954281184,39.96944529758153
119.5631°E,23.5655°N,27.5,87,0.0,9.7,7.35,25.0,5.6,83,多雲有靄,10.7,4450.515665134568,0.021427011991414443,6.797872826362639,25.408651025867112,50.68410784752044
119.5631°E,23.5655°N,25.1,92,66.0,0.0,1.039,14.4,10.0,83,陰有雨,10.7,7188.042056161122,0.012866163075012382,2.9156996519808853,23.126997965106337,43.84503984336082
119.5631°E,23.5655°N,22.6,71,0.0,3.7,4.492,16.0,8.0,84,多雲,10.7,5206.830000049807,0.006526276755405592,98.43835309944721,21.82830928767234,44.1856815548814
119.5631°E,23.5655°N,23.4,72,0.0,7.5,6.156,21.2,5.4,84,多雲,10.7,5808.167476042193,0.028518799502180954,91.61100863895552,22.660752771671138,38.12762252765199
119.5631°E,23.5655°N,23.8,82,0.0,0.2,3.594,17.2,9.0,84,陰有靄,10.7,3105.887916610231,0.01174441566942915,67.54864430044265,24.999598675510107,47.65793768233012
119.5631°E,23.5655°N,24.1,83,0.0,3.3,5.319,14.4,7.8,84,多雲有靄,10.7,7851.0518289480315,0.004726704448487082,6.412777290220895,23.380449847768826,43.853546589370964
119.5631°E,23.5655°N,25.5,77,0.0,2.1,4.356,16.4,7.8,85,多雲有靄,10.7,6409.107419615503,0.0012303944128698803,96.03457940240445,23.628222320790158,46.89650091789694
119.5631°E,23.5655°N,27.0,80,0.0,11.1,7.531,17.6,1.0,86,晴有靄,10.7,9880.078609052693,0.019364938195185494,71.30864089874244,24.493948174138538,53.472399740400306
119.5631°E,23.5655°N,27.2,92,1.5,1.6,4.125,20.6,7.8,86,多雲有雨,10.7,7450.047132956846,0.005373357574259616,84.65414951170503,25.000948227387585,43.41007227886383
119.5631°E,23.5655°N,26.3,93,5.0,0.4,2.25,5.0,9.6,86,陰有雨,10.7,1194.7445533915547,0.006753534173407398,50.447751799159114,23.025994597561624,51.96012242184281
119.5631°E,23.5655°N,27.1,88,0.0,7.0,6.244,9.2,5.6,86,多雲有靄,10.7,9479.282269066447,0.0014267728904469642,16.373230849016775,22.801255057629792,56.43260308545161
119.5631°E,23.5655°N,27.8,91,7.5,9.3,6.731,17.8,5.0,87,多雲有雨,10.7,4829.0638919797975,0.007090041771665586,88.81705659558571,22.319836832132527,53.44055516056089
119.5631°E,23.5655°N,27.7,91,0.0,7.1,5.839,28.0,7.2,87,多雲有靄,10.7,6439.617293599412,0.005985567022758657,26.988141269516277,24.822215943898538,51.60084146808238
119.5631°E,23.5655°N,24.7,81,2.0,5.5,5.781,12.0,5.8,87,多雲有雨,10.7,2356.0763877522286,0.02569195478424479,42.5240464086586,22.505587657284963,46.710146532394724
119.5631°E,23.5655°N,24.9,77,0.0,3.0,4.475,21.2,7.6,87,多雲有靄,10.7,3606.7236166195335,0.0015821708403472095,21.45170196857751,24.743613171986105,50.73418636192907
119.5631°E,23.5655°N,26.3,83,0.0,8.6,6.783,22.2,5.2,87,多雲有靄,10.7,1646.2390282874214,0.0122069599354611,33.761466765737644,23.124325157286926,53.47594387690007
119.5631°E,23.5655°N,27.0,83,0.0,11.1,7.611,25.0,2.6,88,晴有靄,10.7,5114.344725676868,0.018882917358773645,93.57337114048234,23.53765172774841,49.01036551115646
119.5631°E,23.5655°N,26.7,85,0.0,11.2,7.622,19.0,2.4,88,晴有靄,10.7,2072.4938313016755,0.033393933383793165,10.611344922958054,22.385134583175482,43.210367926245596
119.5631°E,23.5655°N,26.6,83,0.0,8.7,7.228,22.0,4.6,88,多雲有靄,10.7,5016.588263563932,0.02074489168117831,53.01367725528584,24.94095056846752,39.33128972809233
119.5631°E,23.5655°N,27.1,86,0.0,0.8,3.983,10.0,9.4,88,陰有靄,10.7,4002.839878882706,0.008644516891229225,40.86629013157247,22.47999576751482,40.897674757414435
119.5631°E,23.5655°N,27.3,83,0.0,10.1,7.469,25.0,2.6,88,晴有靄,10.7,9133.115896727295,0.008921326977749264,71.4474477740643,22.519284235457214,55.7361028649879
119.5631°E,23.5655°N,28.3,86,0.0,6.9,5.786,23.0,5.4,89,多雲有靄,10.7,7213.017393628869,0.011293666310190525,89.8127378005123,25.41160740486987,38.34410186971314
119.5631°E,23.5655°N,28.4,90,18.5,8.4,7.186,26.0,4.8,89,多雲有雨,10.7,8311.18717821369,0.007945757896058888,71.84412414969505,25.3978392354489,53.58300980398082
119.5631°E,23.5655°N,27.8,86,0.0,10.1,7.061,14.0,4.0,89,多雲有靄,10.7,2639.6783646773592,0.0014709482539513898,5.529715747505692,23.285307991691734,41.91134136347865
119.5631°E,23.5655°N,28.3,83,0.0,10.3,6.978,12.6,3.2,89,晴有靄,10.7,8706.0424008328,0.010823170386989822,61.47630611906695,24.922639038959105,38.97564612215981
119.5631°E,23.5655°N,28.8,83,0.0,10.8,7.622,28.0,2.4,89,晴有靄,10.7,6126.538377343364,0.02454200900819453,83.9951840161583,22.295971042465695,46.622067732862575
