經度,緯度,期間平均室外溫度(°),相對溼度(%),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²),能見度(km),總雲量(0~10),太陽高度角(°),天氣現象,海拔(m),設備容量(kW),故障率(%),遮蔽率(%),擺放角度(°),面板溫度(°)
120.3125°E,22.7304°N,26.3,68,0.0,10.0,6.839,16.4,3.4,82,晴天,11.8,104.73116470311385,0.00785795957543567,21.855867562607823,22.40443272204181,41.26202336827119
120.3125°E,22.7304°N,26.7,72,0.0,10.4,6.936,12.8,2.6,83,晴天,11.8,841.5124520023354,0.004283248965244922,87.8559085532659,24.534256126506865,37.474967516646394
120.3125°E,22.7304°N,27.1,75,0.0,9.7,6.8,14.4,2.0,83,晴有靄,11.8,6991.374806596211,0.008297199465993995,70.24274240680552,22.276308678458662,50.988773555289164
120.3125°E,22.7304°N,28.4,64,0.0,12.1,7.55,14.4,1.8,83,晴天,11.8,8248.879774540981,0.005885463157331739,80.37397700123178,24.66383699289733,41.79272515167534
120.3125°E,22.7304°N,29.2,72,0.0,11.4,7.494,38.0,3.2,83,晴天,11.8,5211.326029886513,0.026219696673992824,18.554168693446073,21.702862701253633,56.6680168620225
120.3125°E,22.7304°N,30.0,67,0.0,12.0,7.539,14.4,2.2,84,晴天,11.8,9062.866491958153,0.013664730026319042,46.35347139840575,23.172550963392517,49.92563435342374
120.3125°E,22.7304°N,27.5,80,24.5,0.6,1.981,12.2,8.8,84,多雲有雨,11.8,4780.26216136993,0.005896144324044491,70.35291738013882,24.431200309084428,38.28909635348534
120.3125°E,22.7304°N,25.6,85,8.0,1.4,3.894,5.8,9.2,84,陰有雨,11.8,6471.5200187375685,0.009926130303446943,5.3059424485393025,20.884683692649432,38.99062828415754
120.3125°E,22.7304°N,23.8,76,0.0,0.0,2.189,11.4,10.0,85,陰有靄,11.8,7945.684321898416,0.0018649048612715262,69.77363851237776,23.935025726782744,39.13548754143883
120.3125°E,22.7304°N,24.7,74,0.0,11.0,7.489,10.8,1.8,85,晴天,11.8,9094.852616373244,0.00025759394768165795,19.96333286482247,22.10162091664564,43.582245900880935
120.3125°E,22.7304°N,25.6,74,0.0,4.9,5.425,11.2,8.6,85,多雲,11.8,4981.897964007565,0.005763746653378091,72.90856206264125,22.39407466805917,47.27796356027599
120.3125°E,22.7304°N,24.8,85,1.5,0.1,2.731,10.0,9.8,86,陰有雨,11.8,4943.871714721934,0.0060581400138078265,55.621648680364885,21.940922566640026,54.215963896269116
120.3125°E,22.7304°N,25.8,86,2.5,0.9,4.203,5.2,10.0,86,陰有雨,11.8,2249.201278620918,0.0015379175760161508,10.931051516469969,22.888702099693695,41.58598563096488
