經度,緯度,期間平均室外溫度(°),相對溼度(%),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²),能見度(km),總雲量(0~10),太陽高度角(°),天氣現象,海拔(m),設備容量(kW),故障率(%),遮蔽率(%),擺放角度(°),面板溫度(°)
120.5813°E,23.8738°N,24.2,73,0.0,7.4,6.381,31.0,4.2,81,多雲,48.6,8928.70865420858,0.003984577654499698,41.88074285566543,23.215431397093315,46.6503886439218
120.5813°E,23.8738°N,25.3,80,0.0,9.2,6.636,25.0,1.8,81,晴有靄,48.6,4381.976119662632,0.01457682561092619,57.88586002261571,24.455220383582375,55.10448542746833
120.5813°E,23.8738°N,25.7,86,0.0,5.9,5.886,10.6,6.4,82,多雲有靄,48.6,8198.762111021491,0.0053143754272012055,71.86372365641944,25.0824822496979,50.42813287622877
120.5813°E,23.8738°N,27.3,77,0.0,8.9,6.878,20.6,1.0,82,晴有靄,48.6,7091.608376060892,0.007728969487833045,95.76472954696685,23.48682519493968,41.6390232064712
120.5813°E,23.8738°N,28.9,75,0.0,11.5,7.397,43.0,2.0,82,晴有靄,48.6,7173.041188686741,0.045895157318800894,71.7332145555513,25.623198138579617,45.93619537079404
120.5813°E,23.8738°N,29.7,68,0.0,9.6,7.156,62.0,2.8,83,晴天,48.6,2537.0873406164883,0.005855004196208742,72.40705674116883,23.498231184233557,59.48759696560005
120.5813°E,23.8738°N,24.9,94,89.5,0.2,1.575,33.0,10.0,83,陰有雨,48.6,4505.542308170915,0.0049490980100723855,77.08809663078797,24.932803934001868,40.57718767115394
120.5813°E,23.8738°N,22.5,87,0.5,2.1,3.744,46.0,8.8,83,多雲有靄,48.6,1896.2323615134353,0.006269368174979921,73.4735043713651,22.630228462139456,39.122081482421756
120.5813°E,23.8738°N,22.4,74,0.0,0.9,3.417,52.0,9.8,83,陰天,48.6,8442.439979804867,0.009949897082414862,47.61088732733442,23.49042661869091,47.23767375098018
120.5813°E,23.8738°N,23.4,73,0.0,3.3,4.328,29.0,5.8,84,多雲,48.6,8259.506958402668,0.01107429900590558,70.28250573984111,22.10914916065655,37.25330949502432
120.5813°E,23.8738°N,24.6,81,0.0,3.1,4.678,17.4,9.4,84,陰有靄,48.6,9248.012855787008,0.005010128782115166,64.82252410665106,22.880256572681912,35.427510026018034
120.5813°E,23.8738°N,25.1,84,0.0,1.9,4.397,11.8,8.8,84,多雲有靄,48.6,9587.267280559421,0.0007573502341101575,34.1296591219921,24.513839274581592,51.98854674237579
120.5813°E,23.8738°N,27.6,75,0.0,7.2,5.753,22.6,4.6,85,多雲有靄,48.6,6039.0617005143495,0.008581789770487501,49.03677932571596,22.020234121744043,43.90807151177542
120.5813°E,23.8738°N,26.4,89,30.0,3.1,2.544,19.8,6.6,86,多雲有雨,48.6,8630.44104058632,0.00876857949905845,36.78246589341122,25.186426740395788,41.927009188652775
120.5813°E,23.8738°N,28.8,78,0.0,7.7,6.456,38.0,6.4,86,多雲有靄,48.6,1257.457758324574,0.007629618655761838,78.32566713374956,24.30578528333717,39.634977523071065
120.5813°E,23.8738°N,25.1,88,48.0,3.8,4.883,16.2,8.8,87,多雲有雨,48.6,5613.190046783821,0.011911279199797021,78.60058588119632,24.875521886083348,45.041019516691065
