經度,緯度,期間平均室外溫度(°),相對溼度(%),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²),能見度(km),總雲量(0~10),太陽高度角(°),天氣現象,海拔(m),設備容量(kW),故障率(%),遮蔽率(%),擺放角度(°),面板溫度(°)
121.5200°E,24.9593°N,21.8,67,0.0,4.2,5.325,25.0,6.4,80,多雲,24.06,4360.513026517896,0.00033268360024652703,33.03348210038741,23.77789453615137,44.18541932701328
121.5200°E,24.9593°N,25.5,75,0.0,7.1,5.406,24.0,5.8,80,多雲有靄,24.06,2997.247082071557,0.0026714159801087467,52.91420942770391,23.497619781379733,45.771562425314926
121.5200°E,24.9593°N,26.7,76,0.0,7.2,5.289,23.6,7.0,81,多雲有靄,24.06,1845.214216603506,0.0153843974969738,7.964547700906099,24.980284360486813,38.00573008773756
121.5200°E,24.9593°N,26.8,79,0.0,6.7,5.706,22.2,7.6,81,多雲有靄,24.06,4281.795153646297,0.0009153113521934139,59.674530897859576,23.86334800241694,38.93891368619966
121.5200°E,24.9593°N,27.6,78,0.0,6.3,5.203,17.8,6.8,81,多雲有靄,24.06,2203.8417644985266,0.005026883872533556,48.306983555175165,24.980246880074194,45.33785302237119
121.5200°E,24.9593°N,27.6,77,2.0,3.6,4.903,23.8,8.2,81,多雲有雨,24.06,7936.580906961329,0.00885058278655681,70.07523466071562,26.81750432035702,47.600167223404334
121.5200°E,24.9593°N,22.7,91,16.5,0.2,1.831,15.4,9.8,82,陰有雨,24.06,8895.311119397504,0.005117858568695163,77.65591849971003,25.101716693990625,51.774844538897334
121.5200°E,24.9593°N,19.2,92,26.0,0.0,1.55,6.8,10.0,82,陰有雨,24.06,5442.537393320873,0.0007323561298082136,85.08505040045017,24.584400172191803,29.744047317896992
121.5200°E,24.9593°N,19.4,78,0.5,0.0,1.944,21.6,9.8,82,陰有靄,24.06,2472.525212734536,0.0006741164188745789,16.92254465841779,24.13139292727776,39.881337506007284
121.5200°E,24.9593°N,21.8,70,0.0,7.6,6.508,20.0,3.6,83,晴天,24.06,3566.8861869464663,0.00041759001008627786,44.13549193548467,24.97530175751661,38.27082635069398
121.5200°E,24.9593°N,23.1,75,0.0,0.5,3.642,17.0,8.6,83,多雲有靄,24.06,2598.187782718623,0.004683417122922497,1.301733669455063,26.148919756130372,38.487775951926025
121.5200°E,24.9593°N,23.5,84,0.5,0.4,2.956,15.2,9.6,83,陰有靄,24.06,5827.266200401817,0.00024377056666219257,38.75234258732815,24.94759519493805,41.798116747493744
121.5200°E,24.9593°N,21.5,91,2.0,0.0,0.786,13.4,10.0,83,陰有雨,24.06,3509.3681411151033,0.00820395047680704,65.75123876590439,23.817842985599814,39.83506880390674
121.5200°E,24.9593°N,25.7,70,0.0,7.1,6.136,25.0,6.2,84,多雲,24.06,6438.775499547802,0.010942851285025637,88.16522357485485,26.071332639233873,38.37908416343382
121.5200°E,24.9593°N,26.9,72,0.0,6.5,5.797,25.0,4.6,84,多雲,24.06,8689.297347694355,0.013531314275597518,91.84586465896005,25.327638310665506,43.82475818910292
121.5200°E,24.9593°N,23.3,94,50.0,0.0,0.661,8.4,10.0,85,陰有雨,24.06,2638.5215142709176,0.021185077746661795,54.019151566713084,25.393068631220196,49.82499656868316
121.5200°E,24.9593°N,27.4,77,33.5,5.1,5.65,25.0,8.8,85,多雲有雨,24.06,6236.0082824367455,0.0020282334334240258,69.95206197905482,23.942544655616523,41.1325429117296
121.5200°E,24.9593°N,20.5,86,15.0,0.0,1.147,6.8,10.0,86,陰有雨,24.06,1106.7208948138145,0.0025227521045399336,62.93597228295822,24.13998922087897,34.245730894037955
121.5200°E,24.9593°N,22.7,86,7.0,0.2,1.794,15.6,10.0,86,陰有雨,24.06,953.7852345557765,0.003618787504319762,54.949682108840804,26.339752462298804,52.47019401568329
121.5200°E,24.9593°N,27.1,78,0.0,8.2,6.0,20.0,4.6,86,多雲有靄,24.06,489.63199420728415,0.0029350323827729615,16.146656289167673,26.439883573476006,41.44804852610052
121.5200°E,24.9593°N,27.2,69,0.0,12.7,7.928,25.0,2.2,86,晴天,24.06,7417.8086337956065,0.009856998733754304,3.058948319431931,24.38783973479824,48.99563982943528
121.5200°E,24.9593°N,28.0,69,0.0,12.7,8.014,25.0,1.2,86,晴天,24.06,523.1750511142181,0.0007615156930709381,39.51507584675038,25.63300818406423,41.96054223632339
121.5200°E,24.9593°N,29.1,72,0.0,10.8,7.411,25.0,4.2,87,多雲,24.06,8762.788250589887,0.006644761063374042,95.36599623823227,24.751358866096357,43.240996765066285
121.5200°E,24.9593°N,27.5,85,2.0,3.3,4.331,16.6,8.6,87,多雲有雨,24.06,4254.24755176196,0.005449567731653501,52.573324981095794,23.12901676753018,40.7883817234024
121.5200°E,24.9593°N,25.4,95,123.0,0.0,1.142,4.0,10.0,87,陰有雨,24.06,4502.821568994115,0.011506366149358703,95.67475933072475,24.286794850159502,45.02916324692066
121.5200°E,24.9593°N,26.0,89,10.0,0.7,2.664,10.2,9.4,87,陰有雨,24.06,7483.991619411022,0.018111857659770615,84.86845142673234,24.737583767002835,50.314941685727085
121.5200°E,24.9593°N,28.2,80,0.5,8.3,6.228,19.2,5.4,87,多雲有靄,24.06,85.47518742461847,0.00029426391683943766,38.83341821147591,26.662906386033995,49.605484195014384
121.5200°E,24.9593°N,26.7,88,103.0,1.0,3.036,9.6,9.2,87,陰有雨,24.06,9167.229404966867,0.011065024211996375,50.608683351263885,23.834583145317488,36.793270454700995
121.5200°E,24.9593°N,27.8,83,3.0,3.6,4.467,20.0,7.8,88,多雲有雨,24.06,4178.944603783155,0.00803251617367445,92.616128692492,26.723763494534488,54.12038303848788
121.5200°E,24.9593°N,28.4,74,0.0,7.8,5.897,20.0,4.6,88,多雲,24.06,1314.8146601889587,0.00397831970800214,86.73815371565234,26.128620877225032,45.38003281367719
121.5200°E,24.9593°N,28.9,78,0.0,5.1,5.181,23.2,8.0,88,多雲有靄,24.06,5691.836180024298,0.017060858943288033,80.3414164159449,23.13181614541345,41.043748084631595
121.5200°E,24.9593°N,26.6,90,31.5,2.0,3.433,18.2,8.6,88,多雲有雨,24.06,4351.4014149384175,0.0023972870957260244,71.96875377244113,25.81132917418792,51.99719313985404
121.5200°E,24.9593°N,25.4,92,51.0,1.3,3.114,10.2,9.4,88,陰有雨,24.06,3308.1395146678783,0.0029737535618518623,64.24524189027923,24.506901372049473,52.50239321608381
121.5200°E,24.9593°N,25.6,92,3.0,0.0,2.394,16.0,9.8,88,陰有雨,24.06,3808.5450445783645,0.0016658285589512426,47.22085874158014,23.997221617617107,49.44798491762462
121.5200°E,24.9593°N,25.4,88,0.5,0.0,2.203,22.0,9.8,88,陰有靄,24.06,9804.870304908785,0.0026746626965850765,83.89025945590006,24.806255619026125,37.915627651061754
