經度,緯度,期間平均室外溫度(°),相對溼度(%),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²),能見度(km),總雲量(0~10),太陽高度角(°),天氣現象,海拔(m),設備容量(kW),故障率(%),遮蔽率(%),擺放角度(°),面板溫度(°)
121.7565°E,24.7640°N,21.7,80,0.0,2.0,4.969,30.0,9.2,80,陰有靄,7.2,7777.246403327628,0.002753467258001022,77.55265146048467,25.330453379036275,46.14036459033895
121.7565°E,24.7640°N,23.9,91,1.5,0.9,3.731,13.8,9.0,81,陰有雨,7.2,351.33020449027174,0.003422197180511452,85.70609425871989,24.25541611149923,47.496959031561936
121.7565°E,24.7640°N,26.1,95,0.0,5.1,5.464,16.8,9.0,81,陰有靄,7.2,2563.5432133169747,0.004075439282275534,6.508453704251449,25.28331599643129,53.57626886559078
121.7565°E,24.7640°N,26.9,91,0.0,3.6,4.578,14.4,8.8,81,多雲有靄,7.2,88.14860730554484,0.014058451892807577,7.571744617226672,25.38982133838783,47.08524400167036
121.7565°E,24.7640°N,27.4,91,0.0,5.4,5.869,27.0,5.0,81,多雲有靄,7.2,4799.354031572335,0.0337282763635745,69.54454525534746,26.438206992583794,42.289514043959805
121.7565°E,24.7640°N,27.3,94,0.5,5.3,5.417,15.6,7.8,82,多雲有靄,7.2,4581.40008695036,0.0026215003898473256,60.4538828631711,25.853515038722232,38.65834993588829
121.7565°E,24.7640°N,24.2,96,1.5,0.8,2.611,21.2,9.8,82,陰有雨,7.2,6861.164706793947,0.00850613073376242,68.0105015604642,23.714635687518733,45.577705051131204
121.7565°E,24.7640°N,20.1,98,15.0,0.0,1.772,8.2,10.0,82,陰有雨,7.2,5566.763882292592,0.0008008020324071719,40.53194926981314,23.3434839561853,33.91840117333187
121.7565°E,24.7640°N,19.9,86,0.0,0.0,1.614,11.4,10.0,83,陰有靄,7.2,4906.9107305145435,0.013756915495748591,36.4915960886285,23.67035150759771,47.34863724690857
121.7565°E,24.7640°N,21.3,80,0.0,4.9,5.669,27.0,7.0,83,多雲有靄,7.2,1364.44715924062,0.0027264993731109196,56.3922609078715,26.59973892793319,40.36478666447199
121.7565°E,24.7640°N,22.9,84,0.0,0.3,3.047,15.4,9.6,83,陰有靄,7.2,1290.4517877108262,0.015048756892837013,34.02608028478126,26.633012434242275,35.76052154175143
121.7565°E,24.7640°N,23.6,83,0.0,2.1,4.378,23.0,9.2,84,陰有靄,7.2,8445.740769528375,0.011642770307431759,8.8253540029274,26.62984816510956,37.48594970426013
