經度,緯度,期間平均室外溫度(°),相對溼度(%),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²),能見度(km),總雲量(0~10),太陽高度角(°),天氣現象,海拔(m),設備容量(kW),故障率(%),遮蔽率(%),擺放角度(°),面板溫度(°)
121.5149°E,25.0377°N,26.6,72,0.0,8.6,6.442,40.0,6.8,80,多雲,5.3,4170.803025021038,0.013442005361514707,53.88167340033569,24.71447805761318,50.30439000793519
121.5149°E,25.0377°N,28.0,73,0.0,8.5,6.25,27.8,7.2,81,多雲,5.3,2045.318045065443,0.02325822620012034,67.04675101784022,24.70691920946851,49.17379656891504
121.5149°E,25.0377°N,28.3,73,0.0,8.2,6.617,16.4,7.8,81,多雲,5.3,1404.7289990137424,0.0019964443829404155,89.46066635038473,23.37787684547911,39.081095664657646
121.5149°E,25.0377°N,29.4,69,0.0,6.6,5.686,22.2,6.6,81,多雲,5.3,1699.1343652261244,0.02332444059794362,42.11076250050522,26.86925812060201,50.063305699460344
121.5149°E,25.0377°N,24.0,85,8.0,0.0,2.108,33.0,9.6,82,陰有雨,5.3,6919.079262390783,0.003501171257463726,75.01443149449675,26.99314435562598,48.96331308759679
121.5149°E,25.0377°N,19.9,89,28.0,0.0,1.528,15.4,10.0,82,陰有雨,5.3,2805.1594766519875,0.014788451350252288,44.78935261759052,26.672082012372382,35.772282967473586
121.5149°E,25.0377°N,20.7,68,0.0,0.0,2.783,31.0,9.4,82,陰天,5.3,2878.465610524901,0.0015118337751365808,5.336254511708038,25.334170421968054,33.6345714981162
121.5149°E,25.0377°N,22.4,68,0.0,10.1,7.222,36.0,2.4,83,晴天,5.3,5893.466063495939,0.01311923683163157,41.40559878195683,25.815300630910983,40.683585390538056
121.5149°E,25.0377°N,24.3,76,0.0,0.8,4.283,20.0,9.4,83,陰有靄,5.3,500.4846360019255,0.0075747554555339,58.65550405019929,26.651307661151534,37.04949408292475
121.5149°E,25.0377°N,24.7,79,0.5,0.1,3.169,10.4,10.0,83,陰有靄,5.3,1393.6241961603348,0.01342586238106318,16.53541971169328,26.747734321584137,41.655317194910126
121.5149°E,25.0377°N,22.6,85,0.5,0.0,0.742,22.4,10.0,83,陰有靄,5.3,7508.37021925842,0.012590475680831709,34.88983419778425,24.117411567060106,50.51772436392134
121.5149°E,25.0377°N,26.9,64,0.0,8.2,6.642,41.0,5.8,84,多雲,5.3,4281.483807523078,0.03014165487696755,62.16957202091218,23.4966838918135,55.88978517414142
121.5149°E,25.0377°N,28.3,65,0.0,6.6,6.217,43.0,4.6,84,多雲,5.3,4499.671422665925,0.010057952871169458,57.36794866722859,23.049181308124638,50.64289827241448
121.5149°E,25.0377°N,29.9,68,1.5,5.2,5.2,29.4,7.6,84,多雲有雨,5.3,3267.1223728191894,0.007924558945630577,35.72697600024998,26.671840603679197,52.36720231583605
121.5149°E,25.0377°N,24.1,91,24.5,0.4,1.55,9.2,9.8,85,陰有雨,5.3,159.19660722271627,0.026746304006526007,69.68181614899002,23.30170069088825,49.20926105204933
121.5149°E,25.0377°N,24.3,89,7.5,0.1,1.506,13.6,9.8,85,陰有雨,5.3,7539.008008424003,0.025836410082998643,12.42709619721647,23.117220535359184,34.82421973755439
121.5149°E,25.0377°N,28.0,74,74.0,4.3,5.106,45.0,9.0,85,陰有雨,5.3,284.0365737199253,0.0028217918370447323,84.20308923596058,23.534393260479646,43.58367358022279
121.5149°E,25.0377°N,21.5,79,8.5,0.0,1.406,12.8,10.0,85,陰有雨,5.3,5858.006955311421,0.030693090866547233,1.8647289372943021,26.240230690722466,36.15948547682041
121.5149°E,25.0377°N,23.7,81,4.0,0.1,1.589,21.2,10.0,86,陰有雨,5.3,8071.244850992172,0.004754851598261628,13.645522566068502,23.277370758048846,36.126869114814745
