"觀測時間(day)","測站氣壓(hPa)","重力位高度(gpm)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","Geopotential Height","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","900.2","1510.7","902.2","2023/07/01 22:26:00","898.4","2023/07/01 03:01:00","23.2","28.8","2023/07/01 11:35:00","20.8","2023/07/01 04:32:00","22.1","94","72","2023/07/01 11:37:00","0.9","320","5.3","200","2023/07/01 19:48:00","T","2.6","T","2023/07/01 16:08:00","T","2023/07/01 16:08:00","2.8","20.6","14.28","28.0","-2.3","10","2023/07/01 12:00:00","9.2","24.7","24.2","24.3","24.2","24.6","24.8","24.4"
"02","902.0","1529.3","904.3","2023/07/02 22:51:00","899.8","2023/07/02 04:02:00","23.7","28.0","2023/07/02 10:44:00","21.0","2023/07/02 05:30:00","21.8","90","66","2023/07/02 10:45:00","0.7","310","5.6","300","2023/07/02 15:15:00","T","0.6","T","2023/07/02 16:49:00","T","2023/07/02 16:49:00","4.4","32.5","16.52","30.0","-3.6","10","2023/07/02 11:00:00","6.0","24.9","24.5","24.6","24.5","24.8","24.9","24.4"
"03","902.2","1530.2","903.7","2023/07/03 00:01:00","900.4","2023/07/03 16:14:00","23.0","29.7","2023/07/03 13:23:00","19.4","2023/07/03 16:47:00","21.3","91","64","2023/07/03 13:25:00","1.4","300","12.9","210","2023/07/03 16:29:00","26.5","2.1","12.5","2023/07/03 16:22:00","25.5","2023/07/03 16:03:00","5.4","39.7","19.84","28.0","-4.9","10","2023/07/03 13:00:00","6.6","25.3","24.4","24.5","24.5","24.9","25.0","24.4"
"04","901.2","1521.1","902.3","2023/07/04 00:02:00","899.8","2023/07/04 15:57:00","23.4","29.8","2023/07/04 13:15:00","20.5","2023/07/04 04:07:00","21.1","88","60","2023/07/04 12:30:00","1.0","320","8.7","250","2023/07/04 16:22:00","7.5","1.6","6.0","2023/07/04 16:02:00","7.0","2023/07/04 16:02:00","6.0","44.1","20.52","27.0","-4.6","12","2023/07/04 12:00:00","5.2","25.2","24.4","24.6","24.4","24.8","25.0","24.5"
"05","900.9","1518.4","901.7","2023/07/05 09:23:00","900.0","2023/07/05 16:12:00","24.0","28.0","2023/07/05 11:12:00","20.7","2023/07/05 04:09:00","21.2","85","66","2023/07/05 11:54:00","1.0","300","6.0","250","2023/07/05 13:49:00","0.0","0.0","0.0","--","0.0","--","6.7","49.3","20.42","30.0","3.6","11","2023/07/05 11:00:00","6.4","24.9","24.6","24.8","24.7","25.1","25.1","24.5"
"06","901.0","1520.5","902.5","2023/07/06 10:03:00","899.8","2023/07/06 02:09:00","24.1","29.2","2023/07/06 14:09:00","21.2","2023/07/06 04:26:00","21.7","87","66","2023/07/06 11:39:00","0.9","290","5.6","250","2023/07/06 15:54:00","0.0","0.0","0.0","--","0.0","--","6.9","51.1","22.89","30.0","4.5","10","2023/07/06 14:00:00","6.4","25.8","24.8","25.0","24.8","25.2","25.2","24.6"
"07","902.0","1530.4","902.9","2023/07/07 08:43:00","900.6","2023/07/07 03:29:00","24.3","29.7","2023/07/07 14:39:00","20.5","2023/07/07 04:48:00","20.9","82","65","2023/07/07 12:21:00","1.2","290","5.4","260","2023/07/07 15:48:00","0.0","0.0","0.0","--","0.0","--","9.0","66.7","24.18","30.0","5.0","13","2023/07/07 13:00:00","2.4","25.6","25.1","25.3","25.1","25.5","25.3","24.6"
"08","902.6","1536.8","903.6","2023/07/08 07:32:00","901.6","2023/07/08 15:04:00","24.6","30.4","2023/07/08 14:50:00","21.0","2023/07/08 04:16:00","20.5","78","60","2023/07/08 14:33:00","1.2","200","6.5","200","2023/07/08 18:04:00","0.0","0.0","0.0","--","0.0","--","7.9","58.6","25.52","28.0","5.0","17","2023/07/08 12:00:00","3.4","26.2","25.1","25.3","25.2","25.5","25.5","24.7"
"09","901.5","1525.6","902.2","2023/07/09 11:12:00","901.0","2023/07/09 15:01:00","24.1","29.2","2023/07/09 12:01:00","21.8","2023/07/09 05:28:00","21.3","85","66","2023/07/09 09:41:00","1.0","290","6.1","200","2023/07/09 16:28:00","0.5","1.0","0.5","2023/07/09 16:10:00","0.5","2023/07/09 15:20:00","7.3","53.8","22.00","28.0","-3.9","17","2023/07/09 12:00:00","3.8","26.4","25.4","25.6","25.4","25.8","25.6","24.8"
