經度,緯度,期間平均室外溫度(°),相對溼度(%),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²),能見度(km),總雲量(0~10),太陽高度角(°),天氣現象,海拔(m),設備容量(kW),故障率(%),遮蔽率(%),擺放角度(°),面板溫度(°)
121.0475°E,25.0067°N,24.0,86,0.0,9.9,6.742,15.6,4.4,80,多雲有靄,20.6,5508.42822784318,0.012210095854162486,89.6293088933438,23.509041241855343,38.14485756276373
121.0475°E,25.0067°N,23.8,95,0.0,3.7,4.664,12.4,8.2,81,多雲有靄,20.6,515.6205658049979,0.007099769827832622,45.683322439471105,25.60327619045904,39.36974565295951
121.0475°E,25.0067°N,25.2,89,0.0,9.3,7.333,22.2,4.0,81,多雲有靄,20.6,6762.872764899333,0.008931849714166093,41.510119701006964,24.140800327085273,49.06275836625993
121.0475°E,25.0067°N,26.9,87,0.0,9.3,6.806,23.0,5.8,81,多雲有靄,20.6,4405.096722989724,0.0017985449706083901,78.03147645113671,24.232154129504718,41.33915767864363
121.0475°E,25.0067°N,26.5,89,2.0,3.5,5.167,22.4,7.6,81,多雲有雨,20.6,3880.324604298932,0.029313534872366036,55.784076238845095,24.45295905225031,41.00109009679664
121.0475°E,25.0067°N,22.8,90,27.5,0.1,1.475,19.6,10.0,82,陰有雨,20.6,4065.79264384611,0.006522377207654399,29.179277422543258,24.83744559729191,50.010678258938526
121.0475°E,25.0067°N,19.5,93,39.5,0.0,1.486,15.6,9.6,82,陰有雨,20.6,5862.942791773747,0.0034905612926170583,20.137871104307315,25.062840239269768,31.244587375616092
121.0475°E,25.0067°N,20.4,73,0.0,0.0,3.511,16.0,7.8,82,多雲,20.6,4836.371737983513,0.005431428806722432,74.67462231020046,25.771071687423056,44.18360827509828
121.0475°E,25.0067°N,22.0,71,0.0,9.5,7.15,16.0,3.8,83,晴天,20.6,3736.627641365134,0.010174377047345142,44.514504926353204,23.252815723319756,36.85350844368676
121.0475°E,25.0067°N,23.9,77,0.0,3.6,4.806,12.8,9.2,84,陰有靄,20.6,9716.054459129502,0.0032132993638677777,65.04768582137396,25.90245655774993,43.40177221268863
121.0475°E,25.0067°N,24.3,83,0.0,10.7,7.108,12.8,6.8,84,多雲有靄,20.6,5967.041082244026,0.0006913546595825436,95.21012430312082,25.733147115229706,45.12039346719543
121.0475°E,25.0067°N,26.5,75,0.0,8.0,6.778,17.6,3.6,84,晴有靄,20.6,7072.098827478169,0.0034510867644171835,83.91930577999706,25.91197799371215,46.1047991217082
121.0475°E,25.0067°N,28.1,85,16.5,9.3,7.019,20.4,4.2,84,多雲有雨,20.6,8421.189755580592,0.012814612047505336,36.59405848526094,25.21807829260178,42.02761153400274
121.0475°E,25.0067°N,23.7,96,205.5,0.5,1.339,11.4,9.6,85,陰有雨,20.6,1921.5308916396377,0.012624290910808187,97.20983636837659,26.410585668166007,44.571886531916455
121.0475°E,25.0067°N,24.1,96,22.0,0.5,1.758,11.2,9.8,85,陰有雨,20.6,898.8189043611251,0.009178970575839664,17.72133808018236,23.30119467687743,51.94786375174185
121.0475°E,25.0067°N,26.6,94,1.0,2.9,3.853,12.2,8.4,85,多雲有雨,20.6,6402.12599237369,0.0017289481791340397,4.910892439787363,23.844193398089452,51.21416248258077
121.0475°E,25.0067°N,26.9,86,48.0,3.6,4.842,34.0,8.8,85,多雲有雨,20.6,6511.576581645552,0.006022185822737558,43.55205561751928,23.28723002035068,38.05462975645935
121.0475°E,25.0067°N,21.7,82,2.0,1.5,4.064,12.0,9.6,86,陰有雨,20.6,829.6273169567767,0.03585192054525106,83.74624326697224,23.686834176948537,36.9069014545783
121.0475°E,25.0067°N,23.3,84,2.0,2.2,4.347,16.4,7.6,86,多雲有雨,20.6,6920.083141216554,0.023562617217765737,29.0872445829476,25.97102962559825,36.46067309402988
121.0475°E,25.0067°N,25.3,90,0.5,7.2,5.8,12.8,6.8,86,多雲有靄,20.6,6949.939387973618,0.018668457883085975,35.91075248634914,25.91345900596079,38.089342483649204
121.0475°E,25.0067°N,26.0,92,0.0,9.6,6.8,10.8,6.6,86,多雲有靄,20.6,3138.877333216987,0.005361264145135157,36.77029833034604,23.826459075631114,40.81140640669198
121.0475°E,25.0067°N,26.9,80,0.0,10.9,7.594,15.2,3.6,86,晴有靄,20.6,8278.800151412788,0.03201915031987439,48.24970417738299,24.15489905872453,53.57375768686319
121.0475°E,25.0067°N,27.6,75,0.0,12.5,7.806,20.4,2.6,86,晴有靄,20.6,8721.92290448586,0.0009256644836391261,31.465299876399733,24.123878387387425,46.2163004403692
121.0475°E,25.0067°N,28.5,81,0.0,13.0,8.136,38.0,3.4,87,晴有靄,20.6,5394.925556146403,0.0010675462000869437,53.473487035132095,26.106571260163694,43.11672531152654
121.0475°E,25.0067°N,28.5,86,0.0,7.9,6.392,13.0,7.2,87,多雲有靄,20.6,9652.96821771255,0.01332462925527243,84.0561085486237,23.188689223423474,39.61283082103377
121.0475°E,25.0067°N,28.1,88,0.0,7.9,6.781,17.6,6.8,87,多雲有靄,20.6,7427.629998222738,0.003724912851692821,15.626242367127352,26.91850963862794,48.15502095348839
121.0475°E,25.0067°N,28.1,85,0.0,12.7,7.903,23.0,3.0,88,晴有靄,20.6,8290.181783668779,0.000838734871412957,44.58101787129588,23.280899673047344,39.629925646319144
121.0475°E,25.0067°N,28.5,86,0.0,10.4,7.644,24.2,5.8,88,多雲有靄,20.6,5388.3877873736965,0.0007985286097831537,43.6357084166514,24.99783132407383,50.16623830483515
121.0475°E,25.0067°N,28.4,90,0.0,4.2,5.772,18.6,7.8,88,多雲有靄,20.6,6205.506301367668,0.0052489536637358135,79.87182705963104,23.619057202906063,42.86645945771473
