經度,緯度,期間平均室外溫度(°),相對溼度(%),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²),能見度(km),總雲量(0~10),太陽高度角(°),天氣現象,海拔(m),設備容量(kW),故障率(%),遮蔽率(%),擺放角度(°),面板溫度(°)
119.9234°E,26.1693°N,17.5,83,0.0,11.7,7.447,19.4,5.6,79,多雲有靄,97.842,976.2384838927663,0.015161705880546784,8.299956500689287,26.857208325121867,43.63187596323315
119.9234°E,26.1693°N,17.5,89,0.0,0.0,1.511,28.0,10.0,79,陰有靄,97.842,9827.436403527596,0.010548466144332429,54.902743208427964,26.351539832036906,32.18152146294003
119.9234°E,26.1693°N,20.8,95,0.0,4.9,5.611,17.0,8.2,79,多雲有靄,97.842,1138.1447042277873,0.006891873210975504,68.83273834221643,25.66100862563357,49.72320089926785
119.9234°E,26.1693°N,23.6,91,0.0,9.4,7.244,27.6,4.2,80,多雲有靄,97.842,7773.801823148963,0.010615133661478158,64.29876012693234,25.24323402852134,48.60312297206453
119.9234°E,26.1693°N,24.4,95,0.5,4.5,4.625,26.0,7.2,80,多雲有靄,97.842,2869.018063712113,0.012148419089649821,55.38264803105607,25.555414519162362,37.85225920168395
119.9234°E,26.1693°N,23.1,98,27.5,4.4,4.397,21.4,9.2,80,陰有雨,97.842,5419.784442994287,0.0005616866918293124,71.10669702314097,24.34596889065187,34.63073123071257
119.9234°E,26.1693°N,18.7,100,17.5,0.0,1.292,11.0,10.0,81,陰有雨,97.842,104.42860720734669,0.05597888718548741,86.38367270431519,25.970322003850015,48.12739536969943
119.9234°E,26.1693°N,18.2,94,0.5,0.5,3.681,35.0,10.0,81,陰有靄,97.842,1357.4621073753583,0.012128256782107948,93.53644225478608,27.914511635471698,41.65548089769224
119.9234°E,26.1693°N,17.5,81,0.0,9.1,7.006,28.0,4.2,81,多雲有靄,97.842,9389.98736179185,0.00784374116754869,18.252879402305165,27.08253778531451,46.84736557325385
119.9234°E,26.1693°N,18.2,82,0.0,10.4,7.486,27.0,1.4,81,晴有靄,97.842,8983.259142987396,0.017990119634839454,36.14592485935443,24.82862278705607,37.004235208827325
119.9234°E,26.1693°N,18.4,78,0.0,0.7,3.556,34.0,10.0,82,陰有靄,97.842,7602.105026165036,0.006007125722923302,26.88519014047038,27.678360867981105,31.679211204440946
119.9234°E,26.1693°N,18.3,89,0.0,0.1,2.081,16.0,10.0,82,陰有靄,97.842,9494.391786106316,0.005280184790621446,71.07326736231333,25.77308932827244,46.53652680251772
119.9234°E,26.1693°N,19.7,94,0.0,1.2,4.322,9.2,9.6,82,陰有靄,97.842,540.1250292714757,0.007429505989399334,36.1157008180578,26.692268403911438,49.18461701338792
119.9234°E,26.1693°N,21.3,95,0.0,4.3,5.267,6.6,9.6,83,陰有靄,97.842,4222.262434918452,0.00075291947336156,20.58662234431784,25.319385744283316,38.929392197129395
119.9234°E,26.1693°N,21.3,97,0.0,3.4,4.603,5.9,8.0,83,多雲有靄,97.842,8352.038264474435,0.0008289416905109698,67.56317627705832,28.103043124183102,50.483985990864966
119.9234°E,26.1693°N,25.3,98,0.5,8.5,6.469,10.2,6.6,83,多雲有靄,97.842,6699.769109449221,0.02117612632896553,63.16655437677292,24.92327278075297,42.26569122764724
119.9234°E,26.1693°N,22.3,96,0.0,1.9,4.281,8.0,9.2,84,陰有靄,97.842,9847.785942518638,0.014227023776508743,85.72744718510954,27.0170817702976,49.430803736568336
119.9234°E,26.1693°N,21.6,91,0.0,0.1,3.158,16.0,10.0,84,陰有靄,97.842,8616.181699968047,0.015530747335567332,9.318029011083084,25.42406285876846,44.42444985025492
119.9234°E,26.1693°N,24.1,93,1.5,3.2,4.694,7.6,9.8,84,陰有雨,97.842,5840.388548406086,0.003496470844373878,2.9364493641441447,24.67382348575979,36.09202287832927
119.9234°E,26.1693°N,21.7,87,0.0,10.6,7.292,16.0,2.4,85,晴有靄,97.842,1622.6452318661193,0.0018778788525505284,55.98006166047904,25.561475641553287,38.68830765495833
119.9234°E,26.1693°N,22.9,90,0.0,8.6,6.236,14.6,6.8,85,多雲有靄,97.842,6137.441829959063,0.0008743159366703959,52.546590847057,26.39906871908383,44.79713002971059
119.9234°E,26.1693°N,23.8,92,0.0,8.7,6.783,18.0,4.4,85,多雲有靄,97.842,6055.760875021337,0.0007291500709190168,38.764844903889404,24.998813700375276,41.39782393975244
119.9234°E,26.1693°N,23.6,91,0.0,1.6,4.531,26.0,9.4,85,陰有靄,97.842,1836.9805283108838,0.007075065254551584,74.47905627836555,27.55728499572311,43.84207360348785
119.9234°E,26.1693°N,24.0,95,0.0,6.2,5.764,22.2,6.2,85,多雲有靄,97.842,1249.832211682986,0.002635832659518062,83.30606568301508,27.202532953995938,39.19269555584373
119.9234°E,26.1693°N,24.6,92,0.0,10.1,7.617,19.0,4.4,86,多雲有靄,97.842,8713.900466982046,0.0028209609322935743,89.82937013336966,25.546008327016704,51.541030175114855
119.9234°E,26.1693°N,24.6,92,0.0,7.4,6.433,26.0,6.2,86,多雲有靄,97.842,821.2363071375426,0.001215508829869567,86.44172191561195,25.62880392192817,36.56672062388558
119.9234°E,26.1693°N,27.0,92,0.0,6.5,5.078,20.0,6.6,86,多雲有靄,97.842,8586.500761966563,0.0012038244466811034,12.359902522121269,24.23943725897226,45.23218632134472
119.9234°E,26.1693°N,28.4,86,1.0,8.0,6.692,19.0,5.0,86,多雲有雨,97.842,4725.125434125414,0.0009655292353079215,75.7702791118088,24.95875957960224,47.292376955032225
119.9234°E,26.1693°N,30.0,77,0.0,7.7,5.631,33.0,8.6,86,多雲有靄,97.842,3334.837219079558,0.0028120216313119698,52.643768843088054,24.93974934453631,59.60656695406148
119.9234°E,26.1693°N,30.1,76,3.0,8.9,5.928,21.0,8.2,86,多雲有雨,97.842,1541.011536922296,0.019907130146185704,23.212703741814522,27.15450105396033,41.24272256857004
119.9234°E,26.1693°N,29.4,86,0.0,11.2,6.825,10.0,5.4,86,多雲有靄,97.842,4903.098950656405,0.007243284419488464,95.35701855415188,26.26440915134078,52.592774259108495
119.9234°E,26.1693°N,29.0,90,0.5,9.1,6.797,6.8,3.8,86,晴有靄,97.842,4794.015775668387,0.006828022708107932,78.21125612271673,24.725648319430086,58.15082345987348
119.9234°E,26.1693°N,28.2,90,0.0,6.4,5.817,8.0,6.2,87,多雲有靄,97.842,8410.933492242051,0.0010637494277565118,69.44834491879061,25.838121455443407,41.256488000091
119.9234°E,26.1693°N,27.9,88,0.0,5.0,5.6,12.0,7.8,87,多雲有靄,97.842,7433.242099672874,0.00626546608078905,39.830299483347154,24.98477077626356,49.84070459357859
119.9234°E,26.1693°N,28.1,86,0.0,6.8,6.125,16.4,6.2,87,多雲有靄,97.842,9407.767783948053,0.005235593461125159,60.175908764211705,26.40368492438256,44.963646082744006
119.9234°E,26.1693°N,27.9,92,0.0,2.3,3.694,9.8,8.0,87,多雲有靄,97.842,6300.646991474786,0.00433304816239782,73.2361862940488,26.628979557069037,54.6575893218644
119.9234°E,26.1693°N,27.5,93,11.5,3.3,4.317,15.0,7.0,87,多雲有雨,97.842,6794.266865699576,0.011849662415651456,23.14300747464855,24.97327353201374,54.61662847739904
119.9234°E,26.1693°N,27.4,89,13.0,4.6,4.728,32.0,5.8,87,多雲有雨,97.842,7317.687405596829,0.007198022040603473,53.03706067571673,25.389025224793546,53.85595318900059
119.9234°E,26.1693°N,27.9,86,0.0,9.6,6.328,23.0,4.4,87,多雲有靄,97.842,5854.65773194255,0.013835085935322717,84.99061603685185,25.722405363722768,44.66190760256825
119.9234°E,26.1693°N,28.2,88,0.0,10.1,7.019,18.0,3.0,87,晴有靄,97.842,109.02093643208867,0.0033859776456123002,15.32325276552976,27.036035809208574,58.08540880231176
119.9234°E,26.1693°N,27.5,91,6.0,4.0,4.822,15.0,7.8,87,多雲有雨,97.842,1136.4440725252343,0.00839229803963907,10.519718911399789,24.9194859967637,46.14651674509528
119.9234°E,26.1693°N,27.5,90,0.0,9.2,6.658,15.0,3.4,87,晴有靄,97.842,2525.4558909908433,0.005809740909875617,33.58896061270382,27.86283274536647,41.26171450078206
119.9234°E,26.1693°N,26.3,91,17.0,3.9,4.392,17.4,7.6,87,多雲有雨,97.842,7943.571304383679,0.0012410366921461785,11.91770675391467,27.232294206329296,45.06842342957569
119.9234°E,26.1693°N,26.5,91,2.5,6.7,5.853,31.0,6.2,87,多雲有雨,97.842,2853.7557544009815,0.014479929919124408,73.56461235988567,25.827926839267402,38.699126941159506
119.9234°E,26.1693°N,25.5,97,33.5,1.4,3.003,22.3,9.2,87,陰有雨,97.842,2027.9700405493904,4.937466154075132e-05,88.63905499479094,27.22522751374305,45.40670156011407
119.9234°E,26.1693°N,25.9,95,3.0,3.9,3.875,32.0,8.4,87,多雲有雨,97.842,8544.932677874456,0.0018830868812279922,62.7059638262372,27.607703354622885,38.58713207269164
